state_name;grade;subject;state_id;boys_score;boys_standard error;girls_score;girls_standard error;category
Andaman & Nicobar Islands;3;evs;35;300.83;0;302.18;0;2
Andhra Pradesh;3;evs;28;296.06;0;299.24;0;2
Arunachal Pradesh;3;evs;12;286.82;0;285.84;0;0
Assam;3;evs;18;310.45;0;315.12;0;2
Bihar;3;evs;10;300.87;0;300.23;0;0
Chandigarh;3;evs;4;312.03;0;313.94;0;2
Chhattisgarh;3;evs;22;288.25;0;289.87;0;2
Dadra & Nagar Haveli;3;evs;26;273.63;0;279.92;0;2
Daman & Diu;3;evs;25;293.09;0;294.11;0;2
Delhi;3;evs;7;286.36;0;290.35;0;2
Goa;3;evs;30;306.16;0;313.62;0;2
Gujarat;3;evs;24;311.07;0;314.1;0;2
Haryana;3;evs;6;297.15;0;302.71;0;2
Himachal Pradesh;3;evs;2;300.64;0;303.53;0;2
Jammu & Kashmir;3;evs;1;308.04;0;312.73;0;2
Jharkhand;3;evs;20;298.7;0;299.8;0;2
Karnataka;3;evs;29;305.69;0;308.2;0;2
Kerala;3;evs;32;314.9;0;319.92;0;2
Ladakh;3;evs;37;293.51;0;294.73;0;2
Lakshadweep;3;evs;31;300.3;0;306.32;0;2
Madhya Pradesh;3;evs;23;314.65;0;316.44;0;2
Maharashtra;3;evs;27;313.76;0;318.25;0;2
Manipur;3;evs;14;313.18;0;318.71;0;2
Meghalaya;3;evs;17;292.72;0;290.62;0;0
Mizoram;3;evs;15;311.29;0;308.01;0;0
Nagaland;3;evs;13;299.59;0;306.41;0;2
Odisha;3;evs;21;308.02;0;309.5;0;2
Puducherry;3;evs;34;318.81;0;311.38;0;0
Punjab;3;evs;3;330.84;0;337.57;0;2
Rajasthan;3;evs;8;321.64;0;322.96;0;2
Sikkim;3;evs;11;307.14;0;311.63;0;2
Tamil Nadu;3;evs;33;302.82;0;305.6;0;2
Telangana;3;evs;36;280.32;0;282.67;0;2
Tripura;3;evs;16;297.21;0;297;0;1
Uttar Pradesh;3;evs;9;300.16;0;300.46;0;1
Uttarakhand;3;evs;5;296.48;0;296.55;0;1
West Bengal;3;evs;19;312.96;0;315.95;0;2
National Average;3;evs;0;302.87;0;305.3;0;3
Andaman & Nicobar Islands;3;language;35;321.2988959;0;324.68;0;2
Andhra Pradesh;3;language;28;308.5196296;0;313.41;0;2
Arunachal Pradesh;3;language;12;299.8700816;0;298.86;0;0
Assam;3;language;18;323.8502139;0;328.48;0;2
Bihar;3;language;10;316.7087997;0;316.39;0;1
Chandigarh;3;language;4;332.3409488;0;337.12;0;2
Chhattisgarh;3;language;22;299.3646241;0;301.93;0;2
Dadra & Nagar Haveli;3;language;26;281.8616949;0;298.42;0;2
Daman & Diu;3;language;25;304.2515299;0;307.57;0;2
Delhi;3;language;7;300.515012;0;304.58;0;2
Goa;3;language;30;321.2250568;0;333.38;0;2
Gujarat;3;language;24;328.1569306;0;331.62;0;2
Haryana;3;language;6;311.1485885;0;319.33;0;2
Himachal Pradesh;3;language;2;315.2456437;0;322.55;0;2
Jammu & Kashmir;3;language;1;329.1812738;0;336.8;0;2
Jharkhand;3;language;20;313.5572262;0;314.02;0;1
Karnataka;3;language;29;320.638675;0;324.94;0;2
Kerala;3;language;32;337.1738895;0;345.63;0;2
Ladakh;3;language;37;303.6800902;0;315.51;0;2
Lakshadweep;3;language;31;310.0565619;0;327.58;0;2
Madhya Pradesh;3;language;23;329.3265857;0;332.36;0;2
Maharashtra;3;language;27;329.4062178;0;336.54;0;2
Manipur;3;language;14;329.8403946;0;334.8;0;2
Meghalaya;3;language;17;302.9794449;0;303.18;0;1
Mizoram;3;language;15;331.3423206;0;333.35;0;2
Nagaland;3;language;13;315.5596011;0;322.72;0;2
Odisha;3;language;21;329.5043843;0;331.28;0;2
Puducherry;3;language;34;329.4750072;0;331.4;0;2
Punjab;3;language;3;349.9827351;0;360.02;0;2
Rajasthan;3;language;8;338.2003926;0;340.35;0;2
Sikkim;3;language;11;326.4058609;0;335.4;0;2
Tamil Nadu;3;language;33;318.3470136;0;321.95;0;2
Telangana;3;language;36;292.5372248;0;294.66;0;2
Tripura;3;language;16;311.0863884;0;315.19;0;2
Uttar Pradesh;3;language;9;312.4417467;0;314.66;0;2
Uttarakhand;3;language;5;309.2418416;0;312.58;0;2
West Bengal;3;language;19;334.7151972;0;339.7;0;2
National Average;3;language;0;318.08;0;323.32;0;3
Andaman & Nicobar Islands;3;math;35;292.23;0;288.4;0;0
Andhra Pradesh;3;math;28;296.99;0;299.9;0;2
Arunachal Pradesh;3;math;12;279.37;0;274.97;0;0
Assam;3;math;18;312.75;0;315.37;0;2
Bihar;3;math;10;305.09;0;303.6;0;0
Chandigarh;3;math;4;312.49;0;309.35;0;0
Chhattisgarh;3;math;22;283.2;0;282.41;0;1
Dadra & Nagar Haveli;3;math;26;266.55;0;278.2;0;2
Daman & Diu;3;math;25;296.3;0;291.01;0;0
Delhi;3;math;7;282.03;0;282.73;0;1
Goa;3;math;30;298.46;0;299.16;0;1
Gujarat;3;math;24;309.22;0;310.65;0;2
Haryana;3;math;6;298.43;0;300.04;0;2
Himachal Pradesh;3;math;2;294.92;0;296.96;0;2
Jammu & Kashmir;3;math;1;308.95;0;310.31;0;2
Jharkhand;3;math;20;298.32;0;296.95;0;0
Karnataka;3;math;29;304.38;0;306.8;0;2
Kerala;3;math;32;311.49;0;314.14;0;2
Ladakh;3;math;37;280.57;0;286.42;0;2
Lakshadweep;3;math;31;296.29;0;299.96;0;2
Madhya Pradesh;3;math;23;314.35;0;315.03;0;1
Maharashtra;3;math;27;313.98;0;317.12;0;2
Manipur;3;math;14;306.84;0;313;0;2
Meghalaya;3;math;17;281.1;0;277.1;0;0
Mizoram;3;math;15;303.38;0;302.95;0;1
Nagaland;3;math;13;289.42;0;294.32;0;2
Odisha;3;math;21;313.34;0;313.14;0;1
Puducherry;3;math;34;310.05;0;310.02;0;1
Punjab;3;math;3;337.18;0;341.57;0;2
Rajasthan;3;math;8;324.99;0;325.32;0;1
Sikkim;3;math;11;298.26;0;297.69;0;1
Tamil Nadu;3;math;33;302.17;0;304.92;0;2
Telangana;3;math;36;277.35;0;278.01;0;1
Tripura;3;math;16;293.01;0;291.76;0;0
Uttar Pradesh;3;math;9;298.66;0;298;0;1
Uttarakhand;3;math;5;293.05;0;289.25;0;0
West Bengal;3;math;19;313.57;0;313.47;0;1
National Average;3;math;0;299.97;0;300.81;0;3
Andaman & Nicobar Islands;5;evs;35;281.03;0;284.94;0;2
Andhra Pradesh;5;evs;28;267.33;0;272.62;0;2
Arunachal Pradesh;5;evs;12;271.18;0;271.32;0;1
Assam;5;evs;18;289.38;0;292.68;0;2
Bihar;5;evs;10;279.82;0;280.16;0;1
Chandigarh;5;evs;4;287.43;0;297.12;0;2
Chhattisgarh;5;evs;22;267.17;0;270.57;0;2
Dadra & Nagar Haveli;5;evs;26;257.37;0;263.74;0;2
Daman & Diu;5;evs;25;263.31;0;277.59;0;2
Delhi;5;evs;7;273.81;0;274.96;0;2
Goa;5;evs;30;275.08;0;280.56;0;2
Gujarat;5;evs;24;284.7;0;288.48;0;2
Haryana;5;evs;6;280.24;0;286.69;0;2
Himachal Pradesh;5;evs;2;274.26;0;275.4;0;2
Jammu & Kashmir;5;evs;1;293.48;0;300.74;0;2
Jharkhand;5;evs;20;276.5;0;278.62;0;2
Karnataka;5;evs;29;275.1;0;281.12;0;2
Kerala;5;evs;32;278.99;0;285.65;0;2
Ladakh;5;evs;37;280.6;0;289.32;0;2
Lakshadweep;5;evs;31;274.18;0;277.25;0;2
Madhya Pradesh;5;evs;23;294.26;0;299.73;0;2
Maharashtra;5;evs;27;287.75;0;293.39;0;2
Manipur;5;evs;14;284.18;0;290.84;0;2
Meghalaya;5;evs;17;265.04;0;264.64;0;1
Mizoram;5;evs;15;269.06;0;270.68;0;2
Nagaland;5;evs;13;270.92;0;276.74;0;2
Odisha;5;evs;21;282.8;0;281.7;0;0
Puducherry;5;evs;34;291.32;0;287.74;0;0
Punjab;5;evs;3;305.62;0;313.9;0;2
Rajasthan;5;evs;8;301.93;0;305.44;0;2
Sikkim;5;evs;11;276.78;0;275.61;0;0
Tamil Nadu;5;evs;33;274.23;0;279.67;0;2
Telangana;5;evs;36;257.84;0;261.15;0;2
Tripura;5;evs;16;274.74;0;279.04;0;2
Uttar Pradesh;5;evs;9;278.21;0;279.03;0;1
Uttarakhand;5;evs;5;274.74;0;280.95;0;2
West Bengal;5;evs;19;292.33;0;291.79;0;1
National Average;5;evs;0;278.72;0;282.74;0;3
Andaman & Nicobar Islands;5;language;35;303.73;0;317.34;0;2
Andhra Pradesh;5;language;28;290.71;0;297.08;0;2
Arunachal Pradesh;5;language;12;301.56;0;298.49;0;0
Assam;5;language;18;309.59;0;314.55;0;2
Bihar;5;language;10;304.88;0;304.53;0;1
Chandigarh;5;language;4;319.03;0;331.93;0;2
Chhattisgarh;5;language;22;292.24;0;298.43;0;2
Dadra & Nagar Haveli;5;language;26;283.15;0;287.64;0;2
Daman & Diu;5;language;25;292.07;0;301.6;0;2
Delhi;5;language;7;302.1;0;306.74;0;2
Goa;5;language;30;306.73;0;315.78;0;2
Gujarat;5;language;24;304.42;0;309.65;0;2
Haryana;5;language;6;307.82;0;317.22;0;2
Himachal Pradesh;5;language;2;301.7;0;307.31;0;2
Jammu & Kashmir;5;language;1;318.57;0;327.54;0;2
Jharkhand;5;language;20;301.28;0;304.47;0;2
Karnataka;5;language;29;308.03;0;316.66;0;2
Kerala;5;language;32;307.07;0;319.25;0;2
Ladakh;5;language;37;304.45;0;313.96;0;2
Lakshadweep;5;language;31;298.15;0;301.97;0;2
Madhya Pradesh;5;language;23;313.19;0;319.26;0;2
Maharashtra;5;language;27;312.67;0;320.62;0;2
Manipur;5;language;14;314.92;0;328.62;0;2
Meghalaya;5;language;17;294.09;0;293.55;0;1
Mizoram;5;language;15;299.66;0;303.75;0;2
Nagaland;5;language;13;301.85;0;310.21;0;2
Odisha;5;language;21;304.83;0;306.08;0;2
Puducherry;5;language;34;319.84;0;320.69;0;1
Punjab;5;language;3;334.5;0;344.43;0;2
Rajasthan;5;language;8;323.14;0;328.46;0;2
Sikkim;5;language;11;304.78;0;314.38;0;2
Tamil Nadu;5;language;33;295.01;0;301.63;0;2
Telangana;5;language;36;283.19;0;288.22;0;2
Tripura;5;language;16;299.5;0;308.65;0;2
Uttar Pradesh;5;language;9;301.09;0;303.28;0;2
Uttarakhand;5;language;5;300.79;0;308;0;2
West Bengal;5;language;19;316.85;0;319.71;0;2
National Average;5;language;0;304.79;0;311.13;0;3
Andaman & Nicobar Islands;5;math;35;277.3;0;278.04;0;1
Andhra Pradesh;5;math;28;275.03;0;275.89;0;1
Arunachal Pradesh;5;math;12;269.24;0;267.79;0;0
Assam;5;math;18;291.17;0;290.09;0;0
Bihar;5;math;10;284.55;0;280.94;0;0
Chandigarh;5;math;4;295.84;0;293.63;0;0
Chhattisgarh;5;math;22;266.2;0;264.95;0;0
Dadra & Nagar Haveli;5;math;26;265.13;0;262.87;0;0
Daman & Diu;5;math;25;270.85;0;276.3;0;2
Delhi;5;math;7;275.64;0;270.13;0;0
Goa;5;math;30;274.36;0;273.7;0;1
Gujarat;5;math;24;286.46;0;286.55;0;1
Haryana;5;math;6;285.05;0;286.25;0;2
Himachal Pradesh;5;math;2;271.67;0;268.74;0;0
Jammu & Kashmir;5;math;1;293.97;0;292.55;0;0
Jharkhand;5;math;20;277.33;0;275.11;0;0
Karnataka;5;math;29;282.74;0;286.34;0;2
Kerala;5;math;32;278.21;0;279.86;0;2
Ladakh;5;math;37;282.01;0;276.94;0;0
Lakshadweep;5;math;31;279.59;0;280.77;0;2
Madhya Pradesh;5;math;23;294.83;0;296.21;0;2
Maharashtra;5;math;27;286.47;0;288.28;0;2
Manipur;5;math;14;284.33;0;286.79;0;2
Meghalaya;5;math;17;263.5;0;260.94;0;0
Mizoram;5;math;15;269.98;0;270.47;0;1
Nagaland;5;math;13;265.44;0;269.06;0;2
Odisha;5;math;21;292.06;0;288.93;0;0
Puducherry;5;math;34;295.58;0;287.07;0;0
Punjab;5;math;3;315.28;0;317.29;0;2
Rajasthan;5;math;8;305.3;0;307.08;0;2
Sikkim;5;math;11;271.78;0;265.6;0;0
Tamil Nadu;5;math;33;277.83;0;280.63;0;2
Telangana;5;math;36;264.16;0;266.62;0;2
Tripura;5;math;16;273.72;0;275.54;0;2
Uttar Pradesh;5;math;9;279.37;0;276.84;0;0
Uttarakhand;5;math;5;275.18;0;274.93;0;1
West Bengal;5;math;19;291.2;0;286.25;0;0
National Average;5;math;0;280.77;0;280.16;0;3
Andaman & Nicobar Islands;8;language;35;302.46;0;311.46;0;2
Andhra Pradesh;8;language;28;287.85;0;296.33;0;2
Arunachal Pradesh;8;language;12;307.18;0;309.28;0;2
Assam;8;language;18;289.8;0;288.15;0;0
Bihar;8;language;10;296.1;0;287.08;0;0
Chandigarh;8;language;4;331.95;0;336.75;0;2
Chhattisgarh;8;language;22;290.03;0;298.73;0;2
Dadra & Nagar Haveli;8;language;26;307.89;0;314.27;0;2
Daman & Diu;8;language;25;294.46;0;308.58;0;2
Delhi;8;language;7;308.34;0;323.38;0;2
Goa;8;language;30;312.6;0;334.45;0;2
Gujarat;8;language;24;302.76;0;314.73;0;2
Haryana;8;language;6;316.95;0;332.72;0;2
Himachal Pradesh;8;language;2;308.27;0;321.62;0;2
Jammu & Kashmir;8;language;1;310.24;0;327.1;0;2
Jharkhand;8;language;20;298;0;298.15;0;1
Karnataka;8;language;29;291.8;0;302.58;0;2
Kerala;8;language;32;298.22;0;324.69;0;2
Ladakh;8;language;37;311.36;0;330.12;0;2
Lakshadweep;8;language;31;289.63;0;315.36;0;2
Madhya Pradesh;8;language;23;303.32;0;308.3;0;2
Maharashtra;8;language;27;304.93;0;315.79;0;2
Manipur;8;language;14;316.17;0;323.59;0;2
Meghalaya;8;language;17;276.45;0;281.82;0;2
Mizoram;8;language;15;293.77;0;300.25;0;2
Nagaland;8;language;13;308.43;0;316.2;0;2
Odisha;8;language;21;299.54;0;305.34;0;2
Puducherry;8;language;34;303.97;0;323.56;0;2
Punjab;8;language;3;328.25;0;347.06;0;2
Rajasthan;8;language;8;316.49;0;322.87;0;2
Sikkim;8;language;11;304.64;0;318.39;0;2
Tamil Nadu;8;language;33;273.37;0;293.05;0;2
Telangana;8;language;36;283.09;0;294.72;0;2
Tripura;8;language;16;298.56;0;307.08;0;2
Uttar Pradesh;8;language;9;287.26;0;285.26;0;0
Uttarakhand;8;language;5;302.81;0;312.66;0;2
West Bengal;8;language;19;316.76;0;313.81;0;0
National Average;8;language;0;301.99;0;312.03;0;3
Andaman & Nicobar Islands;8;math;35;244.26;0;249.84;0;2
Andhra Pradesh;8;math;28;249.39;0;250.9;0;2
Arunachal Pradesh;8;math;12;244.71;0;240.14;0;0
Assam;8;math;18;254.83;0;254.29;0;1
Bihar;8;math;10;267.71;0;256.67;0;0
Chandigarh;8;math;4;284.34;0;285.66;0;2
Chhattisgarh;8;math;22;237.87;0;235.42;0;0
Dadra & Nagar Haveli;8;math;26;249.43;0;243.56;0;0
Daman & Diu;8;math;25;246.48;0;255.35;0;2
